Time,Time Code,Country Name,Country Code,Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Gross fixed capital formation (% of GDP) [NE.GDI.FTOT.ZS]
2011,YR2011,South Africa,ZAF,50.90468292,0.66753,17.80936918
2012,YR2012,Brazil,BRA,19.28247764,1.126839995,20.71671278
2012,YR2012,Russian Federation,RUS,39.15702233,1.027660012,21.5611849
2012,YR2012,India,IND,43.03489948,0.743990004,33.43693432
2012,YR2012,China,CHN,45.32389801,1.912140012,44.24983199
2012,YR2012,South Africa,ZAF,52.20067115,0.669340014,17.93493345
2013,YR2013,Brazil,BRA,19.60620227,1.195670009,20.91192188
2013,YR2013,Russian Federation,RUS,37.64956447,1.027320027,21.94018828
2013,YR2013,India,IND,42.02272644,0.706420004,31.29580503
2013,YR2013,China,CHN,43.45653366,1.997859955,44.51876555
2013,YR2013,South Africa,ZAF,55.49782044,0.663299978,18.57871221
2014,YR2014,Brazil,BRA,18.79795522,1.269709945,19.8730289
2014,YR2014,Russian Federation,RUS,39.07671659,1.072409987,21.41718335
2014,YR2014,India,IND,38.52649691,0.701590002,30.08023705
2014,YR2014,China,CHN,41.06223756,2.022429943,43.8560937
2014,YR2014,South Africa,ZAF,56.39917037,0.709869981,18.30119874
2015,YR2015,Brazil,BRA,20.37728957,1.370929956,17.83580704
2015,YR2015,Russian Federation,RUS,39.19655181,1.100849986,20.6115488
2015,YR2015,India,IND,31.47393343,0.693099976,28.73314413
2015,YR2015,China,CHN,35.73663652,2.057009935,42.09432828
2015,YR2015,South Africa,ZAF,53.54708898,0.731469989,18.00895329
2016,YR2016,Brazil,BRA,18.08627158,1.286370039,15.52432733
2016,YR2016,Russian Federation,RUS,37.06203467,1.102380037,21.88128167
2016,YR2016,India,IND,27.28742591,0.669839978,28.18843897
2016,YR2016,China,CHN,32.80917001,2.100330114,41.55236492
2016,YR2016,South Africa,ZAF,51.88922093,0.749920011,17.44150362
2017,YR2017,Brazil,BRA,18.45603275,1.117499948,14.55898652
2017,YR2017,Russian Federation,RUS,37.56366665,1.109670043,21.98213912
2017,YR2017,India,IND,28.25469628,0.66602999,28.17781654
2017,YR2017,China,CHN,33.36290883,2.116029978,41.8611853
2017,YR2017,South Africa,ZAF,49.94719938,0.762570024,16.39880518
2018,YR2018,Brazil,BRA,22.15673688,1.167690039,15.09691196
2018,YR2018,Russian Federation,RUS,41.80039658,0.990019977,20.65448572
2018,YR2018,India,IND,31.04934687,0.66000998,29.46306814
2018,YR2018,China,CHN,33.26717275,2.140579939,42.84303114
2018,YR2018,South Africa,ZAF,51.31042505,0.687730014,15.92216748
2019,YR2019,Brazil,BRA,22.11560393,1.210960031,15.47116975
2019,YR2019,Russian Federation,RUS,39.78448002,1.03531003,20.90234042
2019,YR2019,India,IND,28.57939102,0.659420013,28.45454433
2019,YR2019,China,CHN,32.05779479,2.244630098,42.82258435
2019,YR2019,South Africa,ZAF,50.74229668,0.614300013,15.46898966
2020,YR2020,Brazil,BRA,25.43961523,1.145259976,16.56102156
2020,YR2020,Russian Federation,RUS,38.4185427,1.090989947,21.55991978
2020,YR2020,India,IND,24.3155082,0.64635998,27.25042452
2020,YR2020,China,CHN,31.69932665,2.40666008,42.48607855
2020,YR2020,South Africa,ZAF,50.22208723,0.603600025,13.80823668
2021,YR2021,Brazil,BRA,31.24987077,..,18.89618884
2021,YR2021,Russian Federation,RUS,43.46270587,..,19.67796297
2021,YR2021,India,IND,30.74360846,..,28.91392466
2021,YR2021,China,CHN,33.92117918,2.432600021,41.95125398
2021,YR2021,South Africa,ZAF,56.54604327,..,13.18371427
2022,YR2022,Brazil,BRA,32.62238305,..,18.82255542
2022,YR2022,Russian Federation,RUS,38.77308981,..,20.71473821
2022,YR2022,India,IND,34.35653152,..,29.15929321
2022,YR2022,China,CHN,35.12561246,..,41.97277344
2022,YR2022,South Africa,ZAF,63.93477348,..,14.21040669
2023,YR2023,Brazil,BRA,..,..,..
2023,YR2023,Russian Federation,RUS,..,..,..
2023,YR2023,India,IND,..,..,..
2023,YR2023,China,CHN,..,..,..
2023,YR2023,South Africa,ZAF,..,..,..
