Time,Time Code,Country Name,Country Code,GDP (constant 2015 US$) [NY.GDP.MKTP.KD],Gross fixed capital formation (% of GDP) [NE.GDI.FTOT.ZS],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS]
1996,YR1996,India,IND,6.41058E+11,24.52478712,0.639050007,18.08286248
1996,YR1996,China,CHN,2.01314E+12,31.64200474,0.563239992,33.56077916
1996,YR1996,South Africa,ZAF,2.01497E+11,15.80493778,..,36.39110923
1997,YR1997,Brazil,BRA,1.12744E+12,19.12290113,..,13.27391075
1997,YR1997,Russian Federation,RUS,7.04127E+11,18.2923133,1.043740034,39.23601865
1997,YR1997,India,IND,6.6702E+11,25.35005215,0.686689973,18.38085167
1997,YR1997,China,CHN,2.19909E+12,31.0030962,0.63872999,33.8146142
1997,YR1997,South Africa,ZAF,2.06736E+11,16.15013229,0.526939988,37.8895349
1998,YR1998,Brazil,BRA,1.13125E+12,18.5423485,..,12.94322188
1998,YR1998,Russian Federation,RUS,6.66809E+11,16.1506041,0.953830004,48.88588954
1998,YR1998,India,IND,7.08271E+11,25.45876778,0.703790009,18.13617209
1998,YR1998,China,CHN,2.37163E+12,32.88259458,0.646889985,31.48006575
1998,YR1998,South Africa,ZAF,2.0777E+11,16.51397051,..,36.34652583
1999,YR1999,Brazil,BRA,1.13655E+12,17.01629422,..,16.63992782
1999,YR1999,Russian Federation,RUS,7.09484E+11,14.38661429,0.996230006,58.74620335
1999,YR1999,India,IND,7.70923E+11,27.53509242,0.724129975,18.01271192
1999,YR1999,China,CHN,2.55333E+12,32.53712589,0.749629974,32.96403515
1999,YR1999,South Africa,ZAF,2.12756E+11,14.84127552,..,35.24555999
2000,YR2000,Brazil,BRA,1.18642E+12,18.30448803,1.047510028,17.3563669
2000,YR2000,Russian Federation,RUS,7.80433E+11,16.86366886,1.04982996,57.71626735
2000,YR2000,India,IND,8.00534E+11,26.02178485,0.756990016,20.04761208
2000,YR2000,China,CHN,2.77011E+12,32.57741759,0.893159986,39.15500757
2000,YR2000,South Africa,ZAF,2.21692E+11,14.387055,..,39.32580936
2001,YR2001,Brazil,BRA,1.20291E+12,18.4180865,1.061980009,20.83435885
2001,YR2001,Russian Federation,RUS,8.20235E+11,18.88840427,1.176939964,50.76547581
2001,YR2001,India,IND,8.39152E+11,29.93230964,0.735909998,19.31295403
2001,YR2001,China,CHN,3.00102E+12,33.45352637,0.940330029,38.05066885
2001,YR2001,South Africa,ZAF,2.27678E+11,14.36330646,0.642239988,42.46181787
2002,YR2002,Brazil,BRA,1.23964E+12,17.92625082,1.009680033,21.60906655
2002,YR2002,Russian Federation,RUS,8.58786E+11,17.90591385,1.246520042,48.70661973
2002,YR2002,India,IND,8.71073E+11,28.33252481,0.72566998,20.53975634
2002,YR2002,China,CHN,3.27512E+12,35.05836605,1.057860017,42.21296581
2002,YR2002,South Africa,ZAF,2.36103E+11,14.0272853,..,45.69766564
2003,YR2003,Brazil,BRA,1.25378E+12,16.60475915,0.999390006,22.22796471
2003,YR2003,Russian Federation,RUS,9.21477E+11,18.41502839,1.286030054,49.26229136
2003,YR2003,India,IND,9.39543E+11,28.33482571,0.719290018,21.6424477
2003,YR2003,China,CHN,3.60388E+12,38.25768533,1.12037003,51.25567502
2003,YR2003,South Africa,ZAF,2.43065E+11,14.65691258,0.676500022,38.6917066
2004,YR2004,Brazil,BRA,1.326E+12,17.32023332,0.963429987,24.37077204
2004,YR2004,Russian Federation,RUS,9.87823E+11,18.38529929,1.151329994,47.47564737
2004,YR2004,India,IND,1.01398E+12,30.70814142,0.756900012,24.87828661
2004,YR2004,China,CHN,3.96837E+12,39.52966373,1.214980006,59.04604843
2004,YR2004,South Africa,ZAF,2.54136E+11,15.16723896,0.726809978,38.94030875
2005,YR2005,Brazil,BRA,1.36846E+12,17.05618346,1.002460003,21.99972581
2005,YR2005,Russian Federation,RUS,1.05104E+12,17.7553986,1.067970037,48.32778539
2005,YR2005,India,IND,1.09432E+12,32.75533704,0.824109972,29.55770843
2005,YR2005,China,CHN,4.42054E+12,39.42581557,1.307919979,62.20166953
2005,YR2005,South Africa,ZAF,2.67547E+11,15.8783049,0.770240009,39.4402664
2006,YR2006,Brazil,BRA,1.42268E+12,17.21029957,0.988070011,21.18313269
2006,YR2006,Russian Federation,RUS,1.13723E+12,18.50340951,1.072939992,47.25900024
2006,YR2006,India,IND,1.18253E+12,33.58489158,0.804729998,31.92925739
2006,YR2006,China,CHN,4.98288E+12,38.7254881,1.368540049,63.96668237
2006,YR2006,South Africa,ZAF,2.8254E+11,17.36553956,0.80290997,45.05054853
2007,YR2007,Brazil,BRA,1.50903E+12,17.99576134,1.08138001,20.60869047
2007,YR2007,Russian Federation,RUS,1.23389E+12,20.99525445,1.116109967,44.46314175
2007,YR2007,India,IND,1.27313E+12,35.81287812,0.805069983,31.19237559
2007,YR2007,China,CHN,5.69199E+12,37.89246834,1.373690009,61.30622638
2007,YR2007,South Africa,ZAF,2.97685E+11,19.02161631,0.793640018,47.50671595
2008,YR2008,Brazil,BRA,1.58591E+12,19.38532955,1.129040003,22.38905928
2008,YR2008,Russian Federation,RUS,1.29806E+12,22.29046107,1.044350028,45.96850363
2008,YR2008,India,IND,1.31242E+12,34.71795935,0.858759999,43.02794992
2008,YR2008,China,CHN,6.2413E+12,39.06117809,1.445919991,55.79173055
2008,YR2008,South Africa,ZAF,3.07184E+11,21.61482222,0.805670023,57.70451198
2009,YR2009,Brazil,BRA,1.58391E+12,19.10195804,1.118659973,17.22679145
2009,YR2009,Russian Federation,RUS,1.19681E+12,21.9951347,1.251919985,40.50158758
